FECHA,TONELADAS DISPUESTAS,ACUMULADO,LUGAR DE ORIGEN,LUGAR DE DISPOSICIÓN
01/02/2024 12:00:00 AM,7.77,7.77,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/03/2024 12:00:00 AM,3.85,11.62,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/03/2024 12:00:00 AM,6.82,18.44,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/05/2024 12:00:00 AM,7.36,25.8,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/06/2024 12:00:00 AM,4.94,30.74,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/09/2024 12:00:00 AM,8.31,39.05,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/09/2024 12:00:00 AM,7.82,46.87,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/10/2024 12:00:00 AM,5.71,52.58,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/11/2024 12:00:00 AM,2.26,54.84,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/12/2024 12:00:00 AM,7.46,62.3,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/13/2024 12:00:00 AM,5.31,67.61,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/15/2024 12:00:00 AM,7.78,75.39,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/16/2024 12:00:00 AM,4.97,80.36,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/19/2024 12:00:00 AM,6.53,86.89,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/20/2024 12:00:00 AM,7.22,94.11,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/22/2024 12:00:00 AM,7.61,101.72,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/23/2024 12:00:00 AM,3.56,105.28,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/25/2024 12:00:00 AM,6.17,111.45,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/26/2024 12:00:00 AM,8.17,119.62,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/27/2024 12:00:00 AM,6.83,126.45,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/29/2024 12:00:00 AM,7.27,133.72,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
01/30/2024 12:00:00 AM,3.72,137.44,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/02/2024 12:00:00 AM,7.87,145.31,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/03/2024 12:00:00 AM,7.33,152.64,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/05/2024 12:00:00 AM,7.09,159.73,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/06/2024 12:00:00 AM,3.81,163.54,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/07/2024 12:00:00 AM,5.84,169.38,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/09/2024 12:00:00 AM,8.34,177.72,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/10/2024 12:00:00 AM,5.14,182.86,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/12/2024 12:00:00 AM,6.03,188.89,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/13/2024 12:00:00 AM,4.96,193.85,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/16/2024 12:00:00 AM,8.26,202.11,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/17/2024 12:00:00 AM,6.07,208.18,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/19/2024 12:00:00 AM,7.36,215.54,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/20/2024 12:00:00 AM,3.72,219.26,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/21/2024 12:00:00 AM,5.46,224.72,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/21/2024 12:00:00 AM,1.32,226.04,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/23/2024 12:00:00 AM,8.19,234.23,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/24/2024 12:00:00 AM,5.34,239.57,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/26/2024 12:00:00 AM,7.48,247.05,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
02/27/2024 12:00:00 AM,3.31,250.36,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/01/2024 12:00:00 AM,6.59,256.95,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/01/2024 12:00:00 AM,7.27,264.22,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/04/2024 12:00:00 AM,7.21,271.43,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/05/2024 12:00:00 AM,4.06,275.49,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/06/2024 12:00:00 AM,5.93,281.42,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/08/2024 12:00:00 AM,8.31,289.73,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/09/2024 12:00:00 AM,6.75,296.48,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/11/2024 12:00:00 AM,7.56,304.04,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/12/2024 12:00:00 AM,3.82,307.86,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/15/2024 12:00:00 AM,8,315.86,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/16/2024 12:00:00 AM,5.62,321.48,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/18/2024 12:00:00 AM,7.31,328.79,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/19/2024 12:00:00 AM,3.85,332.64,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/20/2024 12:00:00 AM,5.72,338.36,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/22/2024 12:00:00 AM,8.49,346.85,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/22/2024 12:00:00 AM,5.38,352.23,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/25/2024 12:00:00 AM,6.72,358.95,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
03/27/2024 12:00:00 AM,7.72,366.67,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
