TIPO,NOMBRE,SECTOR,CODCUE,CUENCA,CODSCUE,SUBCUENCA,CODMCUE,MICROCUENCA,VOLUMEN,OBSERVACION,IDTABINV,CODHIDRO,OBJECTID,AMBIENTEHidrografia_CAguAREA
602,Canal El Virrey,URBANO,2120,Río Bogotá,212021,Salitre,21202107,Canal Río Negro,,,39,21202107002,1,11688.04500852
602,Canal Limitante del Norte,URBANO,2120,Río Bogotá,212021,Salitre,21202103,Río Arzobispo,,,51,21202103005,2,2017.41053573
602,Canal Marantá,URBANO,2120,Río Bogotá,212021,Salitre,21202102,Jaboque,,,56,21202102001,3,12454.06323993
606,Quebrada Zanjón del Ahorcado,URBANO,2120,Río Bogotá,212017,Río Soacha,21201700,ND,,,104,21201700009,4,1416.28679309
602,Canal Oriental de Fontibón,URBANO,2120,Río Bogotá,212020,Fucha,21202001,Canal Cundinamarca,,,60,21202001019,5,12257.48774556
602,Canal San Blas,URBANO,2120,Río Bogotá,212020,Fucha,21202003,Canal San Blas,,,70,21202003001,6,1775.76089074
602,Canal Sector El Apogeo,URBANO,2120,Río Bogotá,212006,Tunjuelo,21200601,Río Tunjuelo Bajo,,,78,21200601003,7,1147.66490065
603,Cantera Pozo Azul Inundada,URBANO,2120,Río Bogotá,212006,Tunjuelo,21200603,Directos Río Tunjuelo,,,314,21200603195,8,207154.76768457
603,Cantera Sanchez y Gonzalez Inundada,URBANO,2120,Río Bogotá,212006,Tunjuelo,21200603,Directos Río Tunjuelo,,,317,21200603194,9,205353.36040768
603,Lago Parque El Lago,URBANO,2120,Río Bogotá,212021,Salitre,21202101,Río Salitre,,,297,21202101012,10,58770.8250599
603,Lago Club Choquenza,URBANO,2120,Río Bogotá,212021,Salitre,21202108,Cordoba,,,290,21202108122,11,40035.3573955
602,Canal Aguas Residuales PTAR Salitre,URBANO,2120,Río Bogotá,212021,Salitre,21202101,Río Salitre,,,8,21202101002,12,23002.169037
601,Río San Francisco,URBANO,2120,Río Bogotá,212020,Fucha,21202009,Río San Francisco,,,453,21202009003,13,11908.29098212
602,Canal Albina,URBANO,2120,Río Bogotá,212020,Fucha,21202002,Río Fucha,,,9,21202002003,14,34869.91173452
602,Canal Bolivia,URBANO,2120,Río Bogotá,212021,Salitre,21202101,Río Salitre,,,15,21202101004,15,7576.00508647
602,Canal Calle 38 Sur,URBANO,2120,Río Bogotá,212020,Fucha,21202001,Canal Cundinamarca,,,23,21202001008,16,27449.60309989
602,Canal Comuneros,URBANO,2120,Río Bogotá,212020,Fucha,21202008,Quebrada Manzanares,,,30,21202008001,17,55374.07350893
602,Canal Torca,URBANO,2120,Río Bogotá,212022,Torca,21202203,Canal Torca,,,100,21202203001,18,76572.82206695
602,Canal El Cedro,URBANO,2120,Río Bogotá,212022,Torca,21202204,Quebrada Bosque de Pinos,,,37,21202204001,19,46460.64081424
602,Canal Cundinamarca Norte,URBANO,2120,Río Bogotá,212020,Fucha,21202001,Canal Cundinamarca,,,34,21202001001,20,203966.23544618
602,Canal Santa Isabel,URBANO,2120,Río Bogotá,212020,Fucha,21202001,Canal Cundinamarca,,,77,21202001005,21,16523.88505559
602,Canal Sucre,URBANO,2120,Río Bogotá,212021,Salitre,21202103,Río Arzobispo,,,81,21202103004,22,3985.83964933
603,Lago Club Los Lagartos 1,URBANO,2120,Río Bogotá,212021,Salitre,21202108,Cordoba,,,291,21202108118,23,263169.81928459
603,Lago Parque Simon Bolivar,URBANO,2120,Río Bogotá,212021,Salitre,21202101,Río Salitre,,,298,21202101011,24,136261.99980426
603,Lago Timiza,URBANO,2120,Río Bogotá,212006,Tunjuelo,21200601,Río Tunjuelo Bajo,,,299,21200601032,25,43212.81261853
602,Canal Alsacia,URBANO,2120,Río Bogotá,212020,Fucha,21202001,Canal Cundinamarca,,,10,21202001013,26,12291.06454612
602,Canal Américas,URBANO,2120,Río Bogotá,212020,Fucha,21202001,Canal Cundinamarca,,,11,21202001009,27,13991.92525689
602,Canal Cortijo,URBANO,2120,Río Bogotá,212021,Salitre,21202101,Río Salitre,,,33,21202101003,28,6013.80272711
602,Canal Boyaca,URBANO,2120,Río Bogotá,212020,Fucha,21202009,Río San Francisco,,,17,21202009088,29,34848.20633684
602,Canal Cafam,URBANO,2120,Río Bogotá,212021,Salitre,21202109,Juan Amarillo,,,22,21202109002,30,4364.89215595
602,Canal Carmelo,URBANO,2120,Río Bogotá,212021,Salitre,21202102,Jaboque,,,25,21202102004,31,4043.31268834
602,Canal Río Nuevo,URBANO,2120,Río Bogotá,212021,Salitre,21202101,Río Salitre,,,65,21202101007,32,1500.13674245
602,Canal Tintal III,URBANO,2120,Río Bogotá,212020,Fucha,21202001,Canal Cundinamarca,,,98,21202001006,33,37303.67556744
602,Canal Cordoba,URBANO,2120,Río Bogotá,212021,Salitre,21202108,Cordoba,,,32,21202108000,34,77328.28924793
