Carvajal - Carv;"Carvajal - Carv
(ug/m3)";Centro de Alto rendimiento - CdAR;"Centro de Alto rendimiento - CdAR
(ug/m3)";Fecha;"Fontibon - Font25
(ug/m3)";Guaymaral - Gua;"Guaymaral - Gua
(ug/m3)";Kennedy - Ken;"Kennedy - Ken
(ug/m3)";Las Ferias - LFer;"Las Ferias - LFer
(ug/m3)";MinAmbiente - MinA;"MinAmbiente - MinA
(ug/m3)";Periodo;Puente Aranda - Puen;"Puente Aranda - Puen
(ug/m3)";San Cristobal - SanC;"San Cristobal - SanC
(ug/m3)";Suba - Suba;"Suba - Suba
(ug/m3)";Tunal - Tunal;"Tunal - Tunal
(ug/m3)";Usaquen - Usaq;"Usaquen - Usaq
(ug/m3)";_id;anio;fecha
;;18;;;;;;36;;17;;;;;;;;;;;18;;10;;1;2014;2014-01
48;;29;;;;;;41;;28;;;;;;;;;;;28;;17;;2;2014;2014-02
46;;31;;;;;;42;;;;;;;;;;;35;;35;;23;;3;2014;2014-03
29;;20;;;;;;32;;20;;14;;;;;;;24;;23;;13;;4;2014;2014-04
30;;22;;;;;;32;;20;;14;;;;;11;;22;;24;;14;;5;2014;2014-05
33;;13;;;;;;23;;;;13;;;;;9;;14;;16;;9;;6;2014;2014-06
31;;10;;;;;;;;8;;10;;;;;5;;14;;12;;6;;7;2014;2014-07
32;;13;;;;;;24;;;;12;;;;;6;;17;;17;;;;8;2014;2014-08
;;;;;;;;25;;16;;14;;;;;8;;;;18;;;;9;2014;2014-09
33;;;;;;;;30;;;;18;;;;;8;;21;;27;;13;;10;2014;2014-10
;;23;;;;17;;30;;;;22;;;;;11;;23;;31;;15;;11;2014;2014-11
34;;24;;;;18;;37;;;;26;;;;;13;;26;;30;;16;;12;2014;2014-12
28;;20;;;;16;;29;;;;18;;;;;10;;23;;22;;11;;1;2015;2015-01
36;;25;;;;19;;34;;;;23;;;;;13;;30;;29;;;;2;2015;2015-02
34;;27;;;;20;;34;;26;;25;;;;;15;;33;;31;;20;;3;2015;2015-03
30;;16;;;;13;;27;;16;;15;;;;;8;;22;;20;;;;4;2015;2015-04
28;;15;;;;13;;29;;16;;14;;;;;9;;22;;20;;11;;5;2015;2015-05
25;;9;;;;8;;19;;10;;8;;;;;5;;15;;13;;8;;6;2015;2015-06
27;;10;;;;9;;21;;12;;9;;;;;5;;15;;15;;9;;7;2015;2015-07
27;;12;;;;9;;22;;14;;10;;;;;5;;17;;16;;10;;8;2015;2015-08
34;;14;;;;12;;28;;14;;10;;;;;7;;20;;19;;14;;9;2015;2015-09
40;;20;;;;13;;28;;17;;14;;;;;8;;22;;22;;15;;10;2015;2015-10
33;;20;;;;17;;28;;20;;15;;;;;10;;;;25;;17;;11;2015;2015-11
28;;14;;;;13;;25;;13;;12;;;;;8;;19;;20;;11;;12;2015;2015-12
39;;34;;;;26;;43;;31;;33;;;;;23;;32;;39;;;;1;2016;2016-01
38;;25;;;;21;;;;24;;23;;;;;15;;32;;29;;24;;2;2016;2016-02
37;;33;;;;28;;36;;28;;29;;;;;24;;35;;36;;34;;3;2016;2016-03
29;;22;;;;15;;29;;21;;21;;;;;;;24;;25;;21;;4;2016;2016-04
25;;13;;;;10;;25;;11;;11;;;;;6;;14;;17;;10;;5;2016;2016-05
27;;10;;;;10;;22;;8;;11;;;;;6;;;;12;;9;;6;2016;2016-06
21;;9;;;;6;;22;;8;;7;;;;;5;;;;11;;11;;7;2016;2016-07
25;;11;;;;11;;28;;;;10;;;;;7;;;;14;;9;;8;2016;2016-08
;;15;;;;;;30;;15;;12;;;;;7;;;;17;;11;;9;2016;2016-09
;;21;;;;18;;33;;18;;19;;;20;;10;;;;24;;16;;10;2016;2016-10
;;24;;;;15;;33;;22;;20;;;23;;11;;17;;30;;18;;11;2016;2016-11
;;24;;;;16;;35;;21;;21;;;25;;11;;22;;28;;16;;12;2016;2016-12
24;;19;;;;24;;15;;26;;18;;;17;;17;;9;;20;;23;;1;2017;2017-01
29;;24;;;;23;;34;;24;;22;;;24;;15;;26;;30;;22;;2;2017;2017-02
30;;;;;;18;;30;;21;;24;;;22;;16;;21;;28;;;;3;2017;2017-03
30;;;;;;18;;27;;;;17;;;20;;12;;22;;23;;16;;4;2017;2017-04
27;;;;;;11;;24;;13;;;;;18;;9;;14;;19;;;;5;2017;2017-05
27;;;;;;11;;24;;13;;;;;17;;17;;9;;14;;19;;6;2017;2017-06
24;;8;;;;;;19;;;;8;;;10;;10;;7;;11;;11;;7;2017;2017-07
29;;10;;;;12;;25;;12;;9;;;14;;9;;16;;16;;9;;8;2017;2017-08
29;;13;;;;14;;25;;15;;12;;;15;;11;;18;;15;;11;;9;2017;2017-09
29;;13;;;;13;;26;;14;;15;;;16;;13;;16;;20;;11;;10;2017;2017-10
34;;19;;;;16;;32;;25;;;;;23;;20;;22;;28;;19;;11;2017;2017-11
30;;18;;;;19;;30;;18;;;;;21;;19;;22;;23;;14;;12;2017;2017-12
29;;16;;2018-01;;16;;26;; ;; ;;;18;;15;;18;;22;;13;;1;2018;
30;;23;;2018-02;;22;;33;; ;; ;;;24;;25;;26;;32;;24;;2;2018;
33;;21;;2018-03;;21;;32;;24;; ;;;23;;20;;26;;28;;21;;3;2018;
29;;17;;2018-04;;14;;27;;18;;19;;;19;;15;;18;;24;;14;;4;2018;
27;; ;;2018-05;;9;;21;;14;;14;;;16;;8;;13;;16;;9;;5;2018;
29;; ;;2018-06;;8;;17;; ;;8;;;11;;4;;12;; ;;7;;6;2018;
27;;8;;2018-07;; ;;17;;8;;11;;; ;;5;;10;;12;;6;;7;2018;
30;;7;;2018-08;; ;;20;;7;;9;;;10;;5;;11;; ;;6;;8;2018;
27;;14;;2018-09;;14;;22;;15;;14;;;15;;10;;13;;19;;11;;9;2018;
27;;15;;2018-10;;16;;23;;18;;15;;;17;;13;;14;;23;;15;;10;2018;
