Mes;Consumo_Bogota;Consumo_Soacha;Consumo_Gachancipa
ene-17;10,92;7,53;9,6
feb-17;11,1;7,19;10,12
mar-17;10,91;7,51;10,11
abr-17;11,16;7,42;10,24
may-17;11,08;7,59;10,22
jun-17;11,22;7,49;10,29
jul-17;11,15;7,61;10,29
ago-17;11,23;7,53;10,36
sep-17;11,17;7,63;10,36
oct-17;11,29;7,58;10,44
nov-17;11,26;7,66;10,44
dic-17;11,33;7,59;10,56
ene-18;11,31;9,36;11,13
feb-18;11,41;7,48;10,71
mar-18;10,92;7,9;10,71
abr-18;11,42;7,61;11,04
may-18;11,29;7,87;11,04
jun-18;11,4;7,61;11,27
jul-18;11,35;7,79;11,26
ago-18;11,41;7,6;11,35
sep-18;11,35;7,74;11,35
oct-18;11,42;7,61;11,39
nov-18;11,36;7,72;11,39
dic-18;11,43;7,63;11,47
ene-19;11,55;12,61;28,57
feb-19;11,21;7,51;9,24
mar-19;11,06;8,05;9,23
abr-19;11,33;7,71;9,63
may-19;11,39;8;9,64
jun-19;11,34;7,72;10
jul-19;11,26;7,9;10
ago-19;11,32;7,72;10,06
sep-19;11,37;7,87;10,07
oct-19;11,34;7,73;10,18
nov-19;11,39;7,85;10,45
dic-19;11,35;7,73;10,45
ene-20;11,5;12,64;11,08
feb-20;11,12;7,53;11,03
mar-20;11,32;7,95;10,52
abr-20;11,14;7,52;10,52
may-20;11,09;7,71;10,55
jun-20;10,96;7,47;10,55
