FID;CODIGO_ID;COMPONENTE;CATEGORIA;ELEMENTO;AREA_AMBIE;NOMBRE_TOT;ACTO_ADMIN;NORMATIVA;OBSERVACIO;ACOTAMIENT;FECHA_CAPT;RESPONSABL;REGLAID;Shape_Leng;Shape_Area
0;8407;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Bolivia;Res. 1030 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;2939,678658;23648,39644
1;8409;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Bonanza;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;941,2595095;24421,29249
2;8410;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Boyaca;Dec. 190 de 2004 (Anexo 2);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;2942,992419;65424,6151
3;8411;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Boyaca;Res. 1030 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;5129,807349;25363,52188
4;8412;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Boyacá;Res. 1030 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;10315,04297;60240,3736
5;8413;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Boyacá Sector II;Res. 1033 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;986,2265481;5175,73754
6;8414;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Boyacá Sector II;Res. 1033 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;2018,539254;11577,1304
7;8415;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Brazo Norte Guaymaral;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;693,6794545;3378,040669
8;8436;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Contador;Res. 0951 de 2019;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;5477,025898;38173,08814
9;8437;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Contador;Res. 0951 de 2019;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;10955,33773;73003,30584
10;8439;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Cordoba;Dec. 190 de 2004 (Anexo 2);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;9783,821973;213255,7059
11;8441;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Cortijo;Res. 1030 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;2597,916273;15900,83762
12;8490;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal La Castellana;Res. 1030 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;359,0770666;1320,530089
13;8492;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal La Castellana;Res. 1030 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;765,1163309;3645,116211
14;8497;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal La Estrella 1;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;34,75116438;32,64717449
15;8507;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal La Fragua;Dec. 190 de 2004 (Anexo 2);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;1847,262627;78411,28785
16;8508;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal La Isla;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;832,0107132;11675,86395
17;8509;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal La Perseverancia;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;5272,019398;135783,4891
18;8510;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Limitante del Norte;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;908,3099075;22590,58698
19;8511;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Limitante La Vieja;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;1003,67096;20949,96616
20;8512;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Los Angeles (Jaboque);Dec. 190 de 2004 (Anexo 2);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;3492,258781;61002,64853
21;8513;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Los Ángeles de Castilla;Res. 2771 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;2714,821811;14072,0897
22;8516;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Los Ángeles de Castilla;Res. 2771 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;1300,919433;8320,819925
23;8519;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Los Laches;Dec. 190 de 2004 (Anexo 2);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;988,6727825;12325,71299
24;8520;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Magdalena;Dec. 190 de 2004 (Anexo 2);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;2881,702164;61976,88642
25;8521;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Maranta;Dec. 190 de 2004 (Anexo 2);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;3517,520173;33268,59181
26;8524;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Molinos;Dec. 190 de 2004 (Anexo 2);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;6717,584312;156579,7212
27;8525;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Molinos;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;2993,766615;43690,35337
28;8526;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Museo del Chicó;Res. 0932 de 2018;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;293,5586355;3137,384647
29;8527;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Museo del Chicó;Res. 0938 de 2018;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;687,273004;5659,148773
30;8528;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Niza;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;1011,565801;11390,99843
31;8529;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Niza;Res. 1030 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;1586,264512;5159,329585
32;8532;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Niza;Res. 1030 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;3206,198884;19643,89446
33;8533;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Oriental de Fontibón;Res. 1032 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;2015,264745;14682,45955
34;8535;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Oriental de Fontibón;Res. 1032 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;3690,430177;19178,00003
35;8536;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Pasadena;Res. 1030 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;1272,463131;5660,210748
36;8537;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Pasadena;Res. 1030 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;2597,108798;14273,60791
37;8538;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Río Negro;Dec. 190 de 2004 (Anexo 2);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;4113,205062;89435,47475
38;8541;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Río Nuevo;Res. 1030 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;395,7621671;2255,052929
39;8542;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal Río Nuevo;Res. 1030 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;811,7429464;4412,944666
40;8544;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Rí­o Seco Sector 2;Res. 1032 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;3738,906498;20054,41476
41;8547;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Río Seco Sector 2;Res. 1032 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;7430,285281;43144,4691
42;8548;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Río Seco Sector1;Res. 1032 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;2824,526422;21974,13238
43;8550;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Rí­o Seco Sector1;Res. 1032 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;5671,371369;32266,95317
44;8551;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Salitre;Propuesta POT (Pendiente);En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hídrica (Estimada);1,64E+12;544;1;7864,330903;143683,8229
45;8552;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Salitre;Res. 1030 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;2862,032409;23594,24491
46;8554;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal Salitre;Res. 1030 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;5729,579196;34498,78999
47;8556;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal San Antonio (Usaquén);Res. 2076 de 2017;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;2953,853426;15579,53344
48;8559;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal San Antonio (Usaquén);Res. 2076 de 2017;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;4939,099124;24753,9818
49;8568;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal San Blas;Res. 1032 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;631,4402564;5363,042316
50;8569;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua naturales;Canales y sus rondas;Canal San Blas;Res. 1032 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;1298,635603;7281,381298
51;8571;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal San Carlos;Res. 1033 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Ronda Hidráulica;1,64E+12;544;1;2183,421839;17579,00716
52;8572;Áreas de especial importancia ecosistémica;Sistema Hídrico;Cuerpos de agua artificiales;Canales artificiales;Canal San Carlos;Res. 1033 de 2010;En el marco del Decreto 555 del 29 de diciembre de 2021 - Por el cual se adopta la revisión general del Plan de Ordenamiento Territorial de Bogotá;Canal;Zona de Manejo y Preservación Ambiental;1,64E+12;544;1;4370,356304;26178,89413
