año,población,Huella Urbana,Área protegida,Area disponible,Viviendas (ocupadas),Viviendas (total)
1980,3753117,,,,749933.0,778545.0
1981,3876219,,,,773682.0,803200.0
1982,4000258,,,,798184.0,828637.0
1983,4125066,,,,823461.0,854878.0
1984,4250881,,,,849539.0,881951.0
1985,4376707,21210.0,414.72,142390.0,876443.0,909881.0
1986,4503632,,,,904198.0,938696.0
1987,4629733,,,,932833.0,968423.0
1988,4755662,,,,962374.0,999091.0
1989,4882163,,,,992851.0,1030731.0
1990,5009197,,,,1024294.0,1063373.0
1991,5135929,26120.0,1666.74,137480.0,1056731.0,1097048.0
1992,5263300,,,,1090197.0,1131790.0
1993,5390988,,,,1124722.0,1167633.0
1994,5518215,,,,1160340.0,1204610.0
1995,5645134,,,,1197086.0,1242758.0
1996,5771303,,,,1234996.0,1282114.0
1997,5894809,31334.0,2820.0,132266.0,1274107.0,1322717.0
1998,6017421,,,,1314456.0,1364606.0
1999,6137769,,,,1356083.0,1407821.0
2000,6255614,31375.0,2823.81,,1399028.0,1452404.0
2001,6370718,,,,1443333.0,1498400.0
2002,6484116,,,,1489041.0,1545852.0
2003,6593050,,,,1536197.0,1594807.0
2004,6695901,,,,1584846.0,1645312.0
2005,6790992,33506.0,3015.54,130094.0,1623639.0,1685585.0
2006,6873842,,,,1672423.0,1740722.0
2007,6945389,,,,1722999.0,1799363.0
2008,7009432,,,,1775256.0,1861260.0
2009,7062402,,,,1829766.0,1926554.0
2010,7102952,35667.0,3210.0,127933.0,1886437.0,1994405.0
2011,7136774,,,,1943949.0,2062529.0
2012,7169750,,,,2001123.0,2128865.0
2013,7201046,,,,2057901.0,2192811.0
2014,7233450,,,,2114913.0,2254863.0
2015,7268171,,,,2173003.0,2316061.0
2016,7304512,36143.0,3252.87,127457.0,2235179.0,2379951.0
2017,7352743,,,,2302699.0,2448287.0
2018,7428317,,,,2385069.0,2531552.0
2019,7615712,,,,2485644.0,2633586.0
2020,7760096,,,,2580652.0,2729436.0
2021,7839641,,,,2662414.0,2811251.0
2022,7889727,,,,2738231.0,2886949.0
2023,7923763,38623.0,3772.52,124977.0,2814250.0,2963121.0
2024,7946067,,,,2894552.0,3044109.0
